facility,area,count,capacity,updated_at,scraped_at
JON,Weight Floor,24,100,2026-04-16 10:29,2026-04-16T10:59:55-04:00
JON,Weight Floor,34,100,2026-04-16 13:37,2026-04-16T14:10:38-04:00
JON,Weight Floor,30,100,2026-04-16 15:45,2026-04-16T15:46:32-04:00
RPAC,Weight Floor,105,125,2026-04-16 16:02,2026-04-16T16:54:53-04:00
JON,Weight Floor,15,100,2026-04-17 08:45,2026-04-17T09:28:44-04:00
JON,Weight Floor,20,100,2026-04-17 10:31,2026-04-17T10:43:21-04:00
JON,Weight Floor,40,100,2026-04-17 11:40,2026-04-17T12:05:35-04:00
JON,Weight Floor,25,100,2026-04-17 12:37,2026-04-17T13:26:08-04:00
JON,Weight Floor,22,100,2026-04-17 13:49,2026-04-17T14:29:34-04:00
RPAC,Weight Floor,105,125,2026-04-17 16:02,2026-04-17T16:53:02-04:00
JON,Weight Floor,21,100,2026-04-17 17:27,2026-04-17T17:50:20-04:00
JON,Weight Floor,14,100,2026-04-17 18:30,2026-04-17T18:47:15-04:00
RPAC,Weight Floor,105,125,2026-04-18 16:02,2026-04-18T17:03:26-04:00
JON,Weight Floor,14,100,2026-04-18 18:30,2026-04-18T18:50:36-04:00
RPAC,Weight Floor,105,125,2026-04-19 16:02,2026-04-19T16:02:30-04:00
JON,Weight Floor,16,100,2026-04-19 15:31,2026-04-19T16:02:30-04:00
JON,Weight Floor,15,100,2026-04-19 18:32,2026-04-19T19:05:11-04:00
JON,Weight Floor,25,100,2026-04-20 09:33,2026-04-20T10:20:47-04:00
JON,Weight Floor,32,100,2026-04-20 11:47,2026-04-20T11:54:24-04:00
JON,Weight Floor,41,100,2026-04-20 12:44,2026-04-20T13:09:56-04:00
JON,Weight Floor,35,100,2026-04-20 14:30,2026-04-20T14:36:01-04:00
JON,Weight Floor,26,100,2026-04-20 15:32,2026-04-20T16:01:52-04:00
RPAC,Weight Floor,105,125,2026-04-20 16:02,2026-04-20T17:13:01-04:00
JON,Weight Floor,35,100,2026-04-20 16:32,2026-04-20T17:13:01-04:00
JON,Weight Floor,47,100,2026-04-20 17:38,2026-04-20T18:10:32-04:00
JON,Weight Floor,43,100,2026-04-20 18:36,2026-04-20T19:11:25-04:00
RPAC,Weight Floor,50,125,2026-04-21 11:08,2026-04-21T11:18:31-04:00
JON,Weight Floor,31,100,2026-04-21 13:21,2026-04-21T14:01:39-04:00
JON,Weight Floor,32,100,2026-04-21 15:32,2026-04-21T15:46:32-04:00
JON,Weight Floor,29,100,2026-04-21 16:30,2026-04-21T16:58:40-04:00
